,price,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
0,2050.86 kr.,72.213,40.0278,18,20.8148,,,,Marion
1,11500 kr.,61.6076,80.2688,9.65777,82.9995,,,,Giacomo Conterno
2,1100 kr.,85,27.6326,46.497,27.5195,,,,Tedeschi
3,1251.36 kr.,61.3094,77.8291,7.14819,82.4921,,,,Vietti
4,825 kr.,85,19.9018,47.9276,20.3641,,,,Ernesto Ruffo
5,551.19 kr.,62.9817,77.5835,3.59214,82.2477,,,,Giacomo Fenocchio
6,7500 kr.,55.752,45.8563,17.6483,46.1284,14.5,,,Masseto
7,10022.04 kr.,61.8826,64.806,10.8242,54.8703,12.5,,,Tenuta San Guido
8,3071.09 kr.,45.5689,39.5138,19.6554,50.1003,14,,,Soldera
9,1597.34 kr.,82.2484,26.396,50.1406,26.5069,16.5,,,Quintarelli Giuseppe
10,1861.39 kr.,84.4,23.6774,49.9391,24.7806,,,,Zýmē
11,3414.43 kr.,78.2931,20.2669,49.2746,19.32,,,,Quintarelli Giuseppe
12,7448.56 kr.,85,26.0082,54.5732,28.1912,17,,,Quintarelli Giuseppe
13,5165.20 kr.,63.7827,69.4635,9.09049,85,,,,Gaja
14,4022.22 kr.,85,28.1078,52.7147,22.1691,17.5,,,Dal Forno Romano
15,6167.41 kr.,64.3381,77.4755,8.46257,85,,,,Gaja
16,2383.54 kr.,69.4151,41.5222,36.8113,23.8708,16.5,,,Quintarelli Giuseppe
17,7058.25 kr.,42.8514,56.5698,12.7679,63.61,,,,Soldera
18,5888.67 kr.,72.2274,40.4564,12.9354,26.8515,,,,Garbole
19,3595 kr.,51.2809,43.1345,11.9642,48.9864,14,,,Antinori
20,1264.74 kr.,69.4509,21.8387,48.9808,12.6898,,,,Varvaglione
21,248.33 kr.,56.1346,50.3269,0,50.7269,,,,Fattoria di Rodano
22,603.71 kr.,84.3759,46.0927,26.4388,21.8899,,,,Viticoltori de Conciliis
23,366.78 kr.,84.7623,19.3278,59.1403,18.8164,,,,Monte Faustino
24,2312.78 kr.,53.6466,40.7629,17.7539,44.234,,,,Podere Il Carnasciale
25,2500 kr.,59.8794,74.1505,6.09852,83.262,,,,Giuseppe Rinaldi
26,1139 kr.,65.9075,77.3989,14.7813,72.981,,,,Parusso
27,4196.36 kr.,67.5754,82.0528,0,79.9874,,,,Tenuta Carretta
28,2104.15 kr.,45.1065,56.056,8.13978,62.1961,,,,Castiglion del Bosco
29,710.21 kr.,48.75,36.25,17.5,48.75,,,,Tenuta Colle del Giglio
30,999 kr.,85,31.9892,43.4758,18.5457,,,,Zeni
31,,48.1276,61.3865,14.2423,68.0995,,,,La Poderina
32,625.31 kr.,85,32.0349,55.436,17.5,,,,Villa Contea
33,5000 kr.,63.2969,79.502,11.1704,85,14,,,Aldo Conterno
34,6167.41 kr.,63.0573,80.3868,10.7209,85,13.5,,,Gaja
35,368.70 kr.,46.3125,57.2443,14.858,63.643,,,,Scopeto del Cavalli
36,975 kr.,71.2061,40.5614,24.1301,20.2091,,,,Inama Azienda Agricola
37,719.76 kr.,81.8617,18.8963,41.2234,23.8564,,,,Fratelli Giuliari
38,245.50 kr.,46.1821,55.5132,6.89991,62.4643,,,,Terre del Palio
39,189 kr.,68.9496,22.2573,47.1014,11.1188,,,,San Marzano
40,399.39 kr.,85,36.167,35.7152,23.9706,,,,Vallone
41,488.86 kr.,54.9791,53.7015,11.2871,65.0447,,,,Cava d'Onice
42,1773.13 kr.,64.4045,64.813,13.0071,53.9651,15,,,Ornellaia
43,2299 kr.,52.1449,41.1974,14.8636,44.3446,18,,,Antinori
44,1595 kr.,60.5813,68.4937,7.11018,85,,,,Gaja
45,685.27 kr.,85,26.5652,53.8176,23.2517,16.5,,,Brunelli
46,1195 kr.,66.4235,40.3224,26.9687,27.8835,,,,Quintarelli Giuseppe
47,1250 kr.,85,22.8448,53.1769,19.4234,,,,Bussola
48,2197 kr.,53.1201,58.5414,12.0625,64.4031,,,,Casanova di Neri
49,2482.19 kr.,60.7598,46.804,15.2374,43.1092,,,,Ornellaia
50,399 kr.,85,25.4507,48.3716,21.7949,,,,Brunelli
51,1638.68 kr.,67.7385,42.2073,30.5721,30.1897,16,,,Zýmē
52,2000 kr.,54.4799,42.5601,15.349,44.7092,14,,,Le Macchiole
53,1340 kr.,50.2703,59.8879,9.67794,64.821,,,,Valdicava
54,650 kr.,78.1219,30.9351,52.0678,27.8978,16.5,,,Stefano Accordini
55,1299 kr.,51.6646,57.9933,12.7994,61.9741,14.5,,,Il Marroneto
56,2992.09 kr.,58.0508,40.9695,14.523,42.6259,15,,,Biserno
57,695 kr.,85,23.106,51.6652,24.2569,,,,Villa Rinaldi
58,1295 kr.,62.5592,40.771,20.2293,27.0515,14.5,,,Gaja
59,2475 kr.,61.9927,67.0936,11.9607,84.9943,14,,,Gaja
60,179.39 kr.,74.6633,21.9539,47.0101,14.1605,,,,Il Pumo
61,344.41 kr.,53.8329,41.0531,12.8593,45.7514,,,,San Giovenale
62,655.47 kr.,85,26.5895,48.9978,19.3188,,,,Marchesi Fumanelli
63,795 kr.,85,32.3659,41.9064,33.5168,,,,Latium Morini
64,856.58 kr.,85,26.1048,50.8043,21.8787,,,,Masi
65,455 kr.,69.6374,40.7174,18.2435,22.3165,17.5,,,Fasoli Gino
66,1117.28 kr.,68.121,45.2751,17.6451,26.9873,14,,,Gaja
67,2224.88 kr.,53.1769,41.7239,16.9144,43.1633,,,,Tua Rita
68,2099.50 kr.,66.457,79.1558,11.4023,77.6553,14,,,Giacomo Conterno
69,1897.11 kr.,63.4713,81.2618,2.95058,85,,,,Gaja
70,2380.21 kr.,45.6516,61.8174,10.7554,65.2075,,,,Soldera
71,999 kr.,65.7112,65.5605,11.0673,53.15,14.5,,,Antinori
72,1824.90 kr.,53.4388,43.0031,19.8684,46.1474,15,,,Tenuta di Trinoro
73,4958.33 kr.,67.2996,83.7616,14.4904,85,,,,Vietti
74,1289.38 kr.,74.5167,33.7068,29.2086,43.3722,,,,Il Cantiniere d'Italia
75,1124.66 kr.,56.3137,40.1338,6.85587,42.3945,15,,,Tua Rita
76,2942.18 kr.,64.9277,80.2604,10.0012,84.4957,,,,Roberto Voerzio
77,999 kr.,82.4581,24.9258,46.4688,26.7792,,,,Domini Veneti
78,620 kr.,85,33.4757,49.8743,25.0249,,,,Ferragù
79,495.09 kr.,82.4653,25.0293,46.8398,27.0122,,,,Villa Canestrari
80,699 kr.,50.6675,53.5193,11.738,64.3316,,,,Collemattoni
81,1532.17 kr.,46.5471,42.6435,7.8126,49.4776,13,,,Montevertine
82,998.50 kr.,79.9557,21.5796,52.9273,26.9245,,,,Villa Rinaldi
83,274.99 kr.,66.1992,16.1434,43.0259,6.48406,,,,De Feudis
84,489.32 kr.,52.7232,40.8432,7.25848,45.1455,,,,Sant'Agnese
85,428.81 kr.,68.3405,51.0226,24.3807,36.8982,,,,Manara
86,550 kr.,85,26.8747,46.6794,25.243,,,,Castellani Michele
87,999 kr.,85,41.4226,30.9808,29.7145,,,,Gianfranco Fino
88,3682.57 kr.,61.316,78.8191,17.7802,84.8636,14,,,Bruno Giacosa
89,550.16 kr.,75.7478,38.7328,31.7845,24.6035,,,,Fratelli Giuliari
90,997.97 kr.,57.4009,39.8412,0,43.1156,,,,Torciano
91,4431.89 kr.,56.743,75.4328,7.36499,83.4459,,,,Mascarello Giuseppe e Figlio
92,216.66 kr.,85,26.7897,52.1786,24.6191,,,,Soraighe
93,2942.18 kr.,57.898,21.9718,14.9463,64.1713,14.5,,,Roberto Voerzio
94,425 kr.,85,22.2902,46.8579,23.1242,,,,Coali
95,1601.44 kr.,63.1318,75.6635,0.39944,85,14,,,Roagna
96,538.44 kr.,72.1944,80.7963,14.7963,55.3981,,,,Tenuta Argentiera
97,299 kr.,60.8498,74.2284,4.77859,83.9508,,,,Prunotto
98,2370.21 kr.,35.8056,56.7667,11.6389,62.0889,,,,Pian dell'Orino
99,5993.71 kr.,57.5313,72.3478,8.43545,84.5337,,,,Roagna
100,1999 kr.,80.5771,13.7326,45.3532,20.4179,,,,I Campi
101,234.69 kr.,85,17.5,45.6034,17.5,,,,Dieci Terre
102,316.19 kr.,49.9257,29.3564,7.45545,41.1634,,,,Il Crinale
103,2971.98 kr.,53.0036,40.511,1.73677,48.9413,,,,Bibi Graetz
104,3314.98 kr.,65.3398,81.6177,12.2337,85,,,,Domenico Clerico
105,600 kr.,85,18.7596,49.1762,20.1828,,,,Fratelli Vogadori
106,1214.79 kr.,85,30.6469,48.6511,25.6554,,,,Il Canovino
107,,64.5432,82.2387,23.1064,83.8697,14.5,,,Roberto Voerzio
108,3053.91 kr.,58.4928,76.9472,8.39258,84.9511,,,,Bruno Giacosa
109,1406.62 kr.,42.7843,42.9815,12.4667,45.7815,,,,Podere le Ripi
110,600 kr.,68.1145,30.1657,42.6898,34.3223,,,,Le Calendre
111,561.76 kr.,70.3344,43.3734,21.8519,33.6282,,,,Vinchio - Vaglio Serra
112,949.95 kr.,52.2284,60.3292,5.05206,64.9186,,,,Castiglion del Bosco
113,968.31 kr.,60.7307,77.162,11.3482,84.3193,,,,Elio Altare
114,1549.31 kr.,63.867,69.4237,10.6,79.2741,,,,Renato Ratti
115,,85,42.5,17.5,17.5,,,,Mirto
116,1110.07 kr.,50.944,34.7556,32.1716,57.5317,,,,Aneri
117,1723.13 kr.,52.9,53.1,6.7,65.1,,,,Frescobaldi
118,631.83 kr.,57.6863,51.1353,6.69904,48.2818,,,,Tenuta Moraia
119,284.57 kr.,,,,,,,,Lauterbach
120,1068.71 kr.,56.9739,47.0336,0,47.0448,14,,,Le Mortelle
121,407.46 kr.,69.9677,38.7056,5.41935,19.6492,,,,Villa Contea
122,2269 kr.,47.6977,65.3985,0,81.1433,15,,,Elio Altare
123,582.18 kr.,85,22.2044,54.2,21.3444,,,,Domini Veneti
124,560.88 kr.,58.3042,68.479,15.0131,81.4738,,,,Renato Corino
125,362.22 kr.,48.6927,52.9976,6.32557,61.1636,,,,Caparzo
126,976.66 kr.,85,34.9612,44.9547,19.2047,,,,Villa Canestrari
127,2234.57 kr.,49.5533,57.5116,6.39741,61.7361,,,,Col d'Orcia
128,555.15 kr.,59.1649,31.7926,36.0479,32.7979,,,,Terrulenta
129,365 kr.,83.4054,20.3047,47.0723,20.3856,,,,Meroni
130,422 kr.,84.1938,31.374,49.1512,25.2558,,,,Brunelli
131,499 kr.,44.1525,38.6992,0,50.928,,,,Alfredosa
132,516.41 kr.,85,15.6892,43.3513,17.1892,,,,Corte Lenguin
133,765.82 kr.,45.2551,42.5,17.5,42.5,,,,Mocine
134,953 kr.,85,21.576,49.2703,24.1926,,,,Trabucchi d'Illasi
135,610.78 kr.,85,32.4386,30.1462,25.4095,,,,Masseria Frattasi
136,1200 kr.,63.6355,75.732,12.5997,80.4823,,,,Sandrone
137,140 kr.,85,35.3973,54.8356,22.5548,,,,Contramalini
138,,57.7829,59.969,26.9322,64.1938,,,,Bricco Mollea
139,186.14 kr.,77.0888,29.375,39.0214,13.8322,15.5,10,5,Emera
140,349 kr.,85,24.3963,45.9908,22.4596,,,,Gamba
141,775 kr.,51.8697,41.4884,10.2016,44.3949,14,,,Antinori
142,299 kr.,55.0559,36.7017,26.078,57.9992,14.5,13,6,Tenuta Ulisse
143,849.95 kr.,50.3675,57.3242,12.4411,63.491,12.5,,,Casanova di Neri
144,999 kr.,47.7731,54.9093,10.3021,64.2117,14.5,,,Banfi
145,1452.47 kr.,57.0371,42.4811,33.529,42.7861,14.5,,,Oasi degli Angeli
146,680.42 kr.,85,24.138,51.0997,22.144,16.5,7,7,Zenato
147,672.50 kr.,82.9721,21.4917,54.5415,22.6438,,,,Guerrieri Rizzardi
148,1995 kr.,62.154,77.4562,7.85222,82.5543,14,,,Giacomo Conterno
149,1088.36 kr.,58.4099,60.9033,20.2133,51.4216,14,,,Ornellaia
150,1245 kr.,85,24.3538,45.3361,27.7683,,,,Fasoli Gino
151,899 kr.,54.9032,42.1393,10.2196,45.0511,14.5,,,Biserno
152,673.16 kr.,61.952,76.1172,5.93241,84.3497,13.5,,,Borgogno
153,595 kr.,82.6561,27.462,48.2307,26.559,16,12,8,Cà dei Frati
154,299 kr.,55.0559,36.7017,26.078,57.9992,,,,Tenuta Ulisse
155,431.67 kr.,54.3817,48.5969,11.2336,45.2174,,,,Paolo Bea
156,715 kr.,84.5322,20.5416,50.0133,24.3441,,,,Tommasi
157,444.98 kr.,67.2819,63.0758,11.5119,51.4341,,,,Giovanni Chiappini
158,1397.16 kr.,52.7446,44.4669,10.6009,46.1019,15,,,Fontodi
159,973.95 kr.,49.6539,57.041,10.2808,64.9752,14.5,,,Antinori
160,1099 kr.,52.0952,58.192,12.8598,62.7391,14.5,,,Tenuta CastelGiocondo
161,138.36 kr.,62.5798,34.4319,41.8201,38.887,,,,Guerrieri
162,649 kr.,53.8816,38.6542,25.2792,55.6579,14.5,,,Dal Forno Romano
163,573.61 kr.,46.2948,32.6319,21.7654,53.8011,,,,Quintarelli Giuseppe
164,426.21 kr.,85,47.2975,34.6579,25.3076,,,,G. Milazzo
165,1020.45 kr.,51.511,59.3985,10.113,65.3508,15,,,Gaja
166,2299 kr.,71.0245,21.6092,47.3091,32.4863,15.5,,,Tommasi
167,1202.80 kr.,85,27.6296,45.6913,20.3391,,,,Accordini
168,599.80 kr.,62.5957,70.2716,9.39267,83.9573,15,,,Marchesi di Gresy
169,705.83 kr.,85,24.3855,56.2246,25.4465,,,,Tenuta Sant'Antonio
170,899 kr.,83.9171,25.1614,48.1292,26.2966,,,,Le Guaite di Noemi
171,823.07 kr.,62.6766,84.6162,5.93625,85,14.5,,,Elio Altare
172,505.51 kr.,81.1262,25.6881,54.053,24.771,16.1,,,Le Salette
173,525.33 kr.,65.6542,76.4297,13.0029,83.1184,,,,Anselma Giacomo
174,550 kr.,45.3959,55.8172,8.89371,63.6901,,,,Podere le Ripi
175,327.74 kr.,70.3282,39.7069,29.784,25.1894,,,,Erbhof Unterganzner
176,1200 kr.,58.4474,66.9926,10.4284,85,,,,Bruno Giacosa
177,1994.72 kr.,46.4198,59.468,11.0407,65.6479,,,,Gaja
178,1007.29 kr.,44.6502,55.2196,2.81782,61.1819,,,,Tassi
179,675 kr.,49.684,59.8158,10.1605,64.5346,,,,Podere le Ripi
180,662.92 kr.,63.824,78.0562,4.2432,84.3589,,,,Conterno Fantino
181,399 kr.,81.2699,26.1051,47.5247,28.8741,,,,Ca La Bionda
182,430.95 kr.,70.552,74.8205,3.94259,81.1199,,,,Franco Conterno
183,921.75 kr.,67.3425,45.5925,43.5803,19.5986,,,,Desmonta
184,439 kr.,78.3062,31.3985,49.9704,31.6336,,,,Pietro Zardini
185,255 kr.,84.7639,21.3587,46.0333,24.7368,,,,Corte Lenguin
186,844.08 kr.,53.4144,49.5457,10.5773,47.6425,14.5,,,Paolo Bea
187,300 kr.,50.7411,36.8889,26.1178,64.0478,,,,Cascina del Colle
188,332.83 kr.,49.2945,34.0317,11.4098,43.9423,,,,Verrazzano
189,419 kr.,85,26.3049,48.3008,24.974,,,,Brigaldara
190,847.38 kr.,62.534,35.7086,22.1692,25.9736,15,,,Quintarelli Giuseppe
191,3491.51 kr.,64.6373,78.7481,6.33906,84.4422,,,,Roberto Voerzio
192,798 kr.,48.0782,38.1909,12.3644,45.9148,,,,Podere Forte
193,999 kr.,64.9961,72.8278,9.16843,85,,,,La Spinetta
194,1172.22 kr.,66.001,73.9735,11.4163,73.6418,14.5,,,Damilano
195,1995 kr.,85,22.6066,48.2171,24.3247,,,,Buglioni
196,1987.50 kr.,62.6872,77.7359,9.1899,85,,,,Aldo Conterno
197,3017.41 kr.,38.366,40.9381,14.7677,66.4935,,,,Valentini
198,799 kr.,85,47.6012,24.6201,29.5568,15,,,Vinosia
199,3240.12 kr.,62.3598,83.4282,10.007,85,,,,Roberto Voerzio
200,336.20 kr.,82.0122,42.8672,32.4025,29.4619,,,,Tenuta Iuzzolini
201,1575.41 kr.,80.9687,34.0938,32.125,20.2187,,,,Carboni
202,540.44 kr.,48.1214,57.1406,6.67772,63.2122,,,,Poggio Rubino
203,1499 kr.,61.0458,76.762,11.0778,85,,,,Bruno Giacosa
204,444.98 kr.,56.041,42.7219,15.6131,42.6688,15,,,Tenuta di Nozzole
205,931.07 kr.,51.6711,44.6136,17.5954,44.2484,,,,Castello dei Rampolla
206,1050 kr.,62.2822,82.9531,15.1327,85,,,,Vietti
207,2508.32 kr.,60.6082,81.5542,4.07902,85,14,,,Mascarello Giuseppe e Figlio
208,1056.06 kr.,58.7279,79.1258,10.847,82.3406,,,,Giuseppe Rinaldi
209,709 kr.,67.9287,44.5608,33.2612,22.5596,,,,De Stefani
210,489.28 kr.,85,40.6292,31.2604,22.7521,,,,
211,,83.4593,31.3325,45.1208,26.57,15.5,,,Garbole
212,144.43 kr.,66.9645,28.2724,23.2855,23.892,,,,Fratelli Vogadori
213,10022.04 kr.,50.1916,42.8446,13.2075,45.4086,13,,,Castello di Ama
214,856.58 kr.,85,31.597,48.4239,25.3381,,,,Masi
215,399 kr.,60.1675,34.7881,11.4969,34.7917,14.5,,,Poderi del Paradiso
216,1907.03 kr.,55.3117,38.1623,15.1087,40.3613,,,,Tua Rita
217,1109.84 kr.,61.842,80.6958,8.46924,85,,,,Paolo Scavino
218,390.62 kr.,56.5566,64.3711,0,72.4371,,,,La Sala
219,900 kr.,85,25.2675,49.6886,32.6974,,,,Corte Archi
220,1206.01 kr.,47.7524,35.5,17.5752,47.5218,14.5,,,Tenuta Argentiera
221,313.20 kr.,67.6575,72.0772,4.09805,85,,,,Cascina Bruciata
222,1374.96 kr.,46.8357,38.8214,17.15,53.8886,,,,Girlan
223,775 kr.,62.8005,73.6058,1.20485,85,,,,Azelia
224,,64.8617,30.3163,24.5643,59.5982,,,,Franco Roero
225,887.40 kr.,43.1429,51.1607,3.77679,43.4643,15,,,Tili
226,369 kr.,81.8031,29.2681,45.5193,26.6389,,,,Benedetti
227,578.86 kr.,68.8348,19.3581,44.189,23.5937,,,,Meroni
228,300.18 kr.,66.1195,39.7862,31.4642,25.8604,14,,,Erbhof Unterganzner
229,154.58 kr.,40.056,40.6716,0,39.7761,,,,Le Pietrose
230,875.30 kr.,85,28.9132,49.2872,26.75,,,,Edizione Limitata
231,11.75 kr.,56.4087,85,0,85,,,,Osvaldo Viberti
232,950.59 kr.,85,24.8721,46.3223,24.1414,,,,Cesari
233,650 kr.,43.9092,53.2838,11.5242,65.5301,13.5,,,Sesti
234,1633.69 kr.,76.8063,26.1637,43.0299,20.9419,16.5,,,Allegrini
235,399.75 kr.,85,25.2993,52.7615,27.0699,,,,Fabiano
236,106.53 kr.,74.1655,34.0554,25.9971,21.1268,,,,Bonazzi Dario e Fabio
237,626.51 kr.,40.5985,25.4206,2.75493,40.8011,,,,Carlo Baccheschi Berti
238,520 kr.,53.2732,61.6639,10.1284,67.1489,14.5,,,Podere le Ripi
239,281 kr.,67.488,39.4503,5.25599,39.0702,,,,Giovanni Montisci
240,375 kr.,85,24.8103,51.0298,21.8512,,,,Montresor
241,946.15 kr.,63.0114,66.5847,21.5106,85,,,,Gaja
242,263.16 kr.,85,24.7519,50.8776,20.8999,,,,Tommasi
243,305.53 kr.,63.7472,40.932,20.7823,44.1683,,,,Toggenburg
244,1593.94 kr.,60.84,79.1594,9.89637,84.3406,,,,Cappellano
245,610.04 kr.,60.2047,71.5009,9.85554,79.8835,,,,Cordero di Montezemolo
246,770.54 kr.,82.8333,19.7442,49.6667,25.533,,,,Montresor
247,1250 kr.,62.4641,75.86,2.38197,83.1968,14,,,Vietti
248,1731.42 kr.,58.5329,47.9204,18.3688,47.0062,,,,Oasi degli Angeli
249,484.16 kr.,51.0193,56.3509,12.5429,64.0467,,,,Fanti
250,144.04 kr.,65.976,40.0582,5.57192,14.7671,,,,Tenute Falezza
251,1053.08 kr.,85,41.572,26.7225,28.4174,,,,Quintodecimo
252,1153.37 kr.,46.1793,54.886,8.83103,62.8086,,,,La Fiorita
253,272.20 kr.,85,17.0833,48.4861,20.6319,,,,Corte Aleardi
254,699 kr.,83.909,30.2778,50.8596,24.7022,,,,Spinosa
255,700 kr.,47.3573,58.2184,8.26174,63.5991,,,,Gaja
256,638.72 kr.,49.407,67.8837,11.8779,56.3721,14.5,,,Stella di Campalto
257,499 kr.,60.9092,81.6209,3.90129,82.3909,,,,Gagliasso
258,246.56 kr.,47.8739,58.1902,0.752185,62.7201,,,,Terralsole
259,236.56 kr.,51.9898,38.8163,4.28809,43.2696,,,,Torciano
260,847.38 kr.,82.5648,37.7228,32.7193,27.3909,,,,Taurino
261,1170.96 kr.,85,37.3248,34.0641,16.9872,,,,Antonio Ferrari
262,431.71 kr.,76.537,19.8672,52.4635,23.685,,,,Tommasi
263,699 kr.,67.8461,48.2115,5,31.1731,,,,I Campi
264,411.04 kr.,46.6081,36.9881,0.56746,42.9434,,,,Talosa
265,976.66 kr.,64.0151,47.1752,21.8348,29.9116,,,,Gravner
266,284.09 kr.,55.7044,48.1691,4.89834,46.2427,13.5,,,Colle Santa Mustiola
267,509 kr.,73.6104,19.565,36.2706,11.9618,,,,Schola Sarmenti
268,364.98 kr.,51.5354,59.8849,5.80124,63.3093,,,,Val di Suga
269,275 kr.,85,22.7412,54.966,22.5406,,,,Corte Alta Fumane
270,1382.61 kr.,45,43.4091,0,42.7273,,,,Castorani
271,1462.19 kr.,27.3766,65.0728,0,66.9399,,,,Stella di Campalto
272,331.46 kr.,58.2438,59.2654,15.608,49.1806,,,,Romanelli
273,160 kr.,66.4175,31.3877,46.5104,23.3936,,,,Fratelli Vogadori
274,279.20 kr.,45.033,35.3312,7.62437,45.2487,,,,Camperchi
275,245 kr.,67.7556,24.5722,42.5833,3.36666,,,,
276,1005.56 kr.,67.2683,71.7332,11.3674,85,14,,,Bruno Rocca
277,252.51 kr.,60.6184,37.2976,19.8315,48.0439,,,,Ernesto Ruffo
278,1452.47 kr.,54.4951,71.5379,6.5892,80.3905,,,,Roagna
279,196.93 kr.,85,21.6816,52.0283,23.1937,,,,Domenico Fraccaroli
280,3314.98 kr.,64.4949,41.9935,19.1065,31.9497,,,,Foradori
281,499 kr.,45.7516,55.9738,8.11388,64.8369,,,,Ciacci Piccolomini d'Aragona
282,552.74 kr.,52.7951,61.4171,8.20732,63.1951,14.5,,,La Rasina
283,300 kr.,85,35.2806,42.0663,25.4133,,,,Corte Aleardi
284,400 kr.,52.7289,46.1615,3.37486,46.5003,,,,Argiano
285,722.66 kr.,65.2377,40.509,21.5689,26.7881,,,,Coppo
286,279.03 kr.,57.8499,48.9673,7.05872,49.9183,,,,Terre Margaritelli
287,812.74 kr.,47.1985,51.9973,12.2291,64.3909,,,,San Felice
288,541.37 kr.,51.1554,62.3826,5.66924,62.0968,,,,Camigliano
289,353.73 kr.,82.8239,40.9273,29.0386,36.5125,,,,Corte Figaretto
290,435.74 kr.,64.0095,77.0652,7.05006,76.8846,,,,Luigi Baudana
291,1443.53 kr.,42.6233,55.9885,3.56098,64.6877,14.5,,,Isole e Olena
292,1700 kr.,61.3749,76.1638,13.6468,83.7053,,,,Vietti
293,1773.13 kr.,83.0869,24.42,47.4723,24.4283,,,,Speri
294,47.43 kr.,59.8553,32.3289,31.6842,19.3947,,,,Ristorante Pie Nie
295,804.44 kr.,64.4085,79.9771,9.94904,82.9809,,,,Aldo Conterno
296,177.06 kr.,67.9324,40.3942,34.6149,17.6757,,,,San Giulio
297,250 kr.,65.7268,37.8657,39.6759,22.875,,,,Fattoria Cabanon
298,145.70 kr.,70.1454,28.3449,24.244,31.1178,,,,Recchia
299,320 kr.,65.7949,67.0158,3.36408,67.9903,,,,Lodali
300,175.97 kr.,55,16.9,0,60,,,,Nizza Silvano
301,369.24 kr.,66.75,85,0,85,,,,Wongraven
