,name,rating,region,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery
195,Il Lussurioso Amarone ,4.6,Amarone della Valpolicella,1995 ,82.5,20.1066,45.7171,21.8247,Buglioni
196,Barolo Bussia Romirasco ,4.6,Barolo,1987.50 ,60.1872,75.2359,6.6899,82.5,Aldo Conterno
197,Montepulciano d'Abruzzo ,4.6,Montepulciano d'Abruzzo,3017.41 ,35.866,38.4381,12.2677,63.9935,Valentini
198,Sesto a Quinconce Aglianico Irpinia ,4.6,Irpinia,799 ,82.5,45.1012,22.1201,27.0568,Vinosia
199,Rocche dell'Annunziata Torriglione Barolo ,4.6,Barolo,3240.12 ,59.8598,80.9282,7.507,82.5,Roberto Voerzio
200,Paternum ,4.6,Calabria,336.20 ,79.5122,40.3672,29.902500000000003,26.9619,Tenuta Iuzzolini
201,Lieros Isola dei Nuraghi ,4.6,Isola dei Nuraghi,1575.41 ,78.4687,31.5938,29.625,17.7187,Carboni
202,Campo del Prete Brunello di Montalcino ,4.6,Brunello di Montalcino,540.44 ,45.6214,54.6406,4.17772,60.7122,Poggio Rubino
203,Falletto Barolo ,4.6,Barolo,1499 ,58.5458,74.262,8.5778,82.5,Bruno Giacosa
204,Toscana Il Pareto ,4.6,Toscana,444.98 ,53.541000000000004,40.2219,13.1131,40.1688,Tenuta di Nozzole
205,d'Alceo ,4.6,Toscana,931.07 ,49.1711,42.1136,15.095400000000001,41.7484,Castello dei Rampolla
206,Barolo Brunate ,4.6,Barolo,1050 ,59.7822,80.4531,12.6327,82.5,Vietti
207,Barolo Riserva Monprivato Cà d'Morissio ,4.6,Barolo,2508.32 ,58.1082,79.0542,1.5790199999999999,82.5,Mascarello Giuseppe e Figlio
208,Cannubi San Lorenzo - Ravera Barolo ,4.6,Barolo,1056.06 ,56.2279,76.6258,8.347000000000001,79.8406,Giuseppe Rinaldi
209,Stèfen  ,4.6,Veneto,709 ,65.4287,42.0608,30.761200000000002,20.0596,De Stefani
210,Niuo Sicilia Rosso ,4.6,Terre Siciliane,489.28 ,82.5,38.1292,28.7604,20.2521,
211,Hatteso Amarone della Valpolicella Riserva ,4.6,Amarone della Valpolicella,,80.9593,28.8325,42.6208,24.07,Garbole
212,Raffaello Rosso Veronese ,4.6,Rosso Veronese,144.43 ,64.4645,25.7724,20.7855,21.392,Fratelli Vogadori
213,L'Apparita ,4.6,Toscana,10022.04 ,47.6916,40.3446,10.7075,42.9086,Castello di Ama
214,Mazzano Amarone Della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,856.58 ,82.5,29.096999999999998,45.9239,22.8381,Masi
215,Mangiafoco Rosso ,4.6,Toscana,399 ,57.6675,32.2881,8.9969,32.2917,Poderi del Paradiso
216,Syrah Toscana ,4.6,Toscana,1907.03 ,52.8117,35.6623,12.6087,37.8613,Tua Rita
217,Rocche dell'Annunziata Barolo Riserva ,4.6,Barolo,1109.84 ,59.342,78.1958,5.969239999999999,82.5,Paolo Scavino
218,Il Torriano Gran Selezione Chianti Classico ,4.6,Chianti Classico,390.62 ,54.0566,61.8711,-2.5,69.9371,La Sala
219,IS Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,900 ,82.5,22.7675,47.1886,30.197400000000002,Corte Archi
220,Lavinia Maria Toscana ,4.6,Toscana,1206.01 ,45.2524,33.0,15.075199999999999,45.0218,Tenuta Argentiera
221,Rio Sordo Barbaresco Riserva ,4.6,Barbaresco,313.20 ,65.1575,69.5772,1.5980499999999997,82.5,Cascina Bruciata
222,Vigna Ganger Pinot Noir Riserva ,4.6,Südtirol - Alto Adige,1374.96 ,44.3357,36.3214,14.649999999999999,51.3886,Girlan
223,Barolo Riserva Bricco Voghera ,4.6,Barolo,775 ,60.3005,71.1058,-1.29515,82.5,Azelia
224,Sichei Barbera d'Asti Superiore ,4.6,Barbera d'Asti,,62.3617,27.8163,22.0643,57.0982,Franco Roero
225,Sacreterre ,4.6,Umbria,887.40 ,40.6429,48.6607,1.27679,40.9643,Tili
226,Gold Label Croce del Gal Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,369 ,79.3031,26.7681,43.0193,24.1389,Benedetti
227,Il Velluto Amarone della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella Classico,578.86 ,66.3348,16.8581,41.68899999999999,21.0937,Meroni
228,Composition Reif ,4.6,Südtirol - Alto Adige,300.18 ,63.6195,37.2862,28.9642,23.3604,Erbhof Unterganzner
229,Sogrà ,4.6,Toscana,154.58 ,37.556,38.1716,-2.5,37.2761,Le Pietrose
230,La Quarta Botte Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,875.30 ,82.5,26.4132,46.7872,24.25,Edizione Limitata
231,Barolo Cannubi Riserva ,4.6,Barolo,11.75 ,53.9087,82.5,-2.5,82.5,Osvaldo Viberti
232,Amarone della Valpolicella Classico Cavaion Veronese ,4.6,Amarone della Valpolicella Classico,950.59 ,82.5,22.3721,43.8223,21.6414,Cesari
233,Phenomena Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,650 ,41.4092,50.7838,9.0242,63.030100000000004,Sesti
234,Fieramonte Amarone della Valpolicella Riserva ,4.6,Amarone della Valpolicella,1633.69 ,74.3063,23.6637,40.5299,18.4419,Allegrini
235,Amarone Della Valpolicella Classico Riserva I Fondatori ,4.6,Amarone della Valpolicella Classico,399.75 ,82.5,22.7993,50.2615,24.5699,Fabiano
236,I Creari Rosso Veronese ,4.6,Rosso Veronese,106.53 ,71.6655,31.5554,23.4971,18.6268,Bonazzi Dario e Fabio
237,Castello di Vicarello ,4.6,Toscana,626.51 ,38.0985,22.9206,0.2549299999999999,38.3011,Carlo Baccheschi Berti
238,Amore e Magia Brunello di Montalcino ,4.6,Brunello di Montalcino,520 ,50.7732,59.1639,7.628399999999999,64.6489,Podere le Ripi
239,Barrosu Cannonau di Sardegna Riserva Franzisca ,4.6,Cannonau di Sardegna,281 ,64.988,36.9503,2.7559899999999997,36.5702,Giovanni Montisci
240,Capitel della Crosara Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,375 ,82.5,22.3103,48.5298,19.3512,Montresor
241,Gromis Barolo ,4.6,Barolo,946.15 ,60.5114,64.0847,19.0106,82.5,Gaja
242,Il Sestante Monte Masua Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,263.16 ,82.5,22.2519,48.3776,18.3999,Tommasi
243,Eccellenza ,4.6,Toscana,305.53 ,61.2472,38.431999999999995,18.2823,41.6683,Toggenburg
244,Otin Fiorin Barolo ,4.6,Barolo,1593.94 ,58.34,76.6594,7.396369999999999,81.8406,Cappellano
245,Barolo Enrico VI ,4.6,Barolo,610.04 ,57.7047,69.0009,7.3555399999999995,77.3835,Cordero di Montezemolo
246,Amarone Valpolicella Classico Castelliere delle Guaite ,4.6,Amarone della Valpolicella Classico,770.54 ,80.3333,17.2442,47.1667,23.033,Montresor
247,Barolo Ravera ,4.6,Barolo,1250 ,59.9641,73.36,-0.11803000000000008,80.6968,Vietti
248,Kupra Marche ,4.6,Marche,1731.42 ,56.0329,45.4204,15.8688,44.5062,Oasi degli Angeli
249,Riserva Vigna le Macchiarelle Brunello di Montalcino ,4.6,Brunello di Montalcino,484.16 ,48.5193,53.8509,10.0429,61.5467,Fanti
250,Rosso Veronese ,4.6,Verona,144.04 ,63.476,37.5582,3.0719199999999995,12.2671,Tenute Falezza
251,Vigna Grande Cerzito Taurasi Riserva ,4.6,Taurasi,1053.08 ,82.5,39.071999999999996,24.2225,25.9174,Quintodecimo
252,Riserva Brunello di Montalcino ,4.6,Brunello di Montalcino,1153.37 ,43.6793,52.386,6.33103,60.3086,La Fiorita
253,Bure Alto Amarone  della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella,272.20 ,82.5,14.583300000000001,45.9861,18.1319,Corte Aleardi
254,Guglielmi di Jago Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,699 ,81.40899999999999,27.7778,48.3596,22.2022,Spinosa
255,Pieve Santa Restituta Brunello di Montalcino ,4.6,Brunello di Montalcino,700 ,44.8573,55.7184,5.76174,61.0991,Gaja
256,Brunello di Montalcino Beatrice ,4.6,Brunello di Montalcino,638.72 ,46.907,65.3837,9.3779,53.8721,Stella di Campalto
257,Rocche dell'Annunziata Barolo ,4.6,Barolo,499 ,58.4092,79.1209,1.40129,79.8909,Gagliasso
258,Alfio Moriconi Selection Brunello di Montalcino ,4.6,Brunello di Montalcino,246.56 ,45.3739,55.6902,-1.7478150000000001,60.2201,Terralsole
259,Bartolomeo ,4.6,Toscana,236.56 ,49.4898,36.3163,1.7880900000000004,40.7696,Torciano
260,Patriglione ,4.6,Salento,847.38 ,80.0648,35.2228,30.219299999999997,24.8909,Taurino
261,Il Barone  ,4.6,Puglia,1170.96 ,82.5,34.8248,31.564100000000003,14.487200000000001,Antonio Ferrari
262,Ca' Florian Amarone ,4.6,Amarone della Valpolicella,431.71 ,74.03699999999999,17.3672,49.9635,21.185,Tommasi
263,Campo Prognare Rosso Veneto ,4.6,Veneto,699 ,65.3461,45.7115,2.5,28.6731,I Campi
264,Pietrose ,4.6,Toscana,411.04 ,44.1081,34.4881,-1.93254,40.4434,Talosa
265,Rujno Rosso ,4.6,Venezia Giulia,976.66 ,61.515100000000004,44.6752,19.3348,27.4116,Gravner
266, Clones Poggio Ai Chiari Sangiovese Toscana ,4.6,Toscana,284.09 ,53.2044,45.6691,2.39834,43.7427,Colle Santa Mustiola
267,Diciotto Primitivo ,4.6,Salento,509 ,71.1104,17.065,33.7706,9.4618,Schola Sarmenti
268,Brunello di Montalcino Vigna Spuntali ,4.6,Brunello di Montalcino,364.98 ,49.0354,57.3849,3.30124,60.8093,Val di Suga
269,Vigna Camparol Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,275 ,82.5,20.2412,52.466,20.0406,Corte Alta Fumane
270, Dieci Inverni ,4.6,Abruzzo,1382.61 ,42.5,40.9091,-2.5,40.2273,Castorani
271,Benedetta Brunello di Montalcino ,4.6,Brunello di Montalcino,1462.19 ,24.8766,62.5728,-2.5,64.4399,Stella di Campalto
272,Medeo Montefalco Sagrantino ,4.6,Montefalco Sagrantino,331.46 ,55.7438,56.7654,13.107999999999999,46.6806,Romanelli
273,Recioto della Valpolicella Classico ,4.6,Recioto della Valpolicella Classico,160 ,63.917500000000004,28.8877,44.0104,20.8936,Fratelli Vogadori
274,Merlot ,4.6,Toscana,279.20 ,42.533,32.8312,5.12437,42.7487,Camperchi
275,Ticona del Vino Primitivo di Manduria ,4.6,Puglia,245 ,65.2556,22.0722,40.0833,0.86666,
276,Currà Barbaresco Riserva ,4.6,Barbaresco,1005.56 ,64.7683,69.2332,8.8674,82.5,Bruno Rocca
277,Campogadis Valpolicella Superiore ,4.6,Valpolicella,252.51 ,58.1184,34.7976,17.3315,45.5439,Ernesto Ruffo
278,Asili Barbaresco Vecchie Viti ,4.6,Barbaresco,1452.47 ,51.9951,69.0379,4.0892,77.8905,Roagna
279,Grotta del Ninfeo Amarone della Valpolicella ,4.6,Amarone della Valpolicella,196.93 ,82.5,19.1816,49.5283,20.6937,Domenico Fraccaroli
280,Granato ,4.6,Vigneti delle Dolomiti,3314.98 ,61.9949,39.4935,16.6065,29.4497,Foradori
281,Brunello di Montalcino Pianrosso ,4.6,Brunello di Montalcino,499 ,43.2516,53.4738,5.61388,62.3369,Ciacci Piccolomini d'Aragona
282,Il 'Divasco' Riserva ,4.6,Brunello di Montalcino,552.74 ,50.2951,58.9171,5.707319999999999,60.6951,La Rasina
283,Bure Alto Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,300 ,82.5,32.7806,39.5663,22.9133,Corte Aleardi
284,Suolo ,4.6,Toscana,400 ,50.2289,43.6615,0.87486,44.0003,Argiano
285,Barbera d'Asti Riserva della Famiglia ,4.6,Barbera d'Asti,722.66 ,62.737700000000004,38.009,19.0689,24.2881,Coppo
286,Freccia degli Scacchi Riserva ,4.6,Torgiano Rosso Riserva,279.03 ,55.3499,46.4673,4.55872,47.4183,Terre Margaritelli
287,Campogiovanni Brunello di Montalcino Riserva Il Quercione ,4.6,Brunello di Montalcino,812.74 ,44.6985,49.4973,9.7291,61.8909,San Felice
288,Brunello di Montalcino Riserva Gualto ,4.6,Brunello di Montalcino,541.37 ,48.6554,59.8826,3.1692400000000003,59.5968,Camigliano
289,Graal Amarone della Valpolicella Valpantena ,4.6,Amarone della Valpolicella Valpantena,353.73 ,80.3239,38.4273,26.5386,34.0125,Corte Figaretto
290,Cerretta Barolo ,4.6,Barolo,435.74 ,61.5095,74.5652,4.55006,74.3846,Luigi Baudana
291,Chianti Classico Gran Selezione ,4.6,Chianti Classico,1443.53 ,40.1233,53.4885,1.0609800000000003,62.18770000000001,Isole e Olena
292,Barolo Rocche di Castiglione ,4.6,Barolo,1700 ,58.8749,73.6638,11.1468,81.2053,Vietti
293,Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,1773.13 ,80.5869,21.92,44.9723,21.9283,Speri
294,Il Vignale Vino Bianco Dolce ,4.6,Valpolicella,47.43 ,57.3553,29.828899999999997,29.1842,16.8947,Ristorante Pie Nie
295,Barolo Bussia Colonnello ,4.6,Barolo,804.44 ,61.908500000000004,77.4771,7.44904,80.4809,Aldo Conterno
296,Malvasia di Castelnuovo don Bosco ,4.6,Malvasia di Castelnuovo don Bosco,177.06 ,65.4324,37.8942,32.1149,15.175699999999999,San Giulio
297,Infernot Provincia di Pavia Rosso ,4.6,Provincia di Pavia,250 ,63.2268,35.3657,37.1759,20.375,Fattoria Cabanon
298,Korvilot Corvina - Merlot ,4.6,Veneto,145.70 ,67.6454,25.8449,21.744,28.6178,Recchia
299,Lorens Barolo ,4.6,Barolo,320 ,63.2949,64.5158,0.8640800000000004,65.4903,Lodali
300,Il Bospoeper Barbera d'Alba ,4.6,Barbera d'Alba,175.97 ,52.5,14.399999999999999,-2.5,57.5,Nizza Silvano
301,Orion Barolo ,4.6,Barolo,369.24 ,64.25,82.5,-2.5,82.5,Wongraven
302, Annodomini  Magliocco Rosso ,4.6,Donnici,753.97 ,69.6776,42.4508,26.7678,34.2801,Spadafora
303,Secentenario ,4.6,Toscana,8542.50 ,49.2727,32.1727,5.127269999999999,34.5727,Antinori
304,Primitivo di Manduria Riserva ,4.6,Primitivo di Manduria,213.01 ,62.135099999999994,15.0,38.2586,7.543100000000001,Attanasio
305,Magma ,4.6,Terre Siciliane,1750 ,79.9707,39.5506,18.1522,30.888800000000003,Frank Cornelissen
306,Barolo Vignarionda Riserva ,4.6,Barolo,742.06 ,60.2792,71.6833,-2.5,77.2707,Oddero
307,Sperss Barolo ,4.6,Barolo,2472.50 ,58.7323,82.5,-1.13616,82.5,Gaja
308,Valpolicella Superiore ,4.6,Valpolicella,127.03 ,48.8182,33.5477,6.690910000000001,49.2432,I Tamasotti
309,Sorbaia ,4.6,Toscana,510.54 ,39.0926,28.1829,-1.03241,41.7894,Tenuta Casanova
310,Conteisa Cerequio Barolo ,4.6,Barolo,994.05 ,66.7548,82.2656,-2.5,82.5,Gaja
311,Le Viole Amarone della Valpolicella Classico Superiore Riserva ,4.6,Amarone della Valpolicella Classico,300 ,82.5,14.2152,47.5902,18.0142,Accordini
312,Since  Primitivo di Manduria ,4.6,Primitivo di Manduria,123.89 ,65.6025,23.7578,39.5295,13.1065,Emera
313,Barbaresco Martinenga ,4.6,Barbaresco,675.96 ,58.3472,66.3363,2.17265,81.5392,Marchesi di Gresy
314,Cannubi Barolo ,4.6,Barolo,550 ,59.9303,75.8166,3.5835999999999997,81.7319,Luigi Einaudi
315,Rosso ,4.6,Terre Siciliane,238.62 ,82.4768,42.6572,11.8879,32.6727,Barone di Serramarrocco
316,Calto ,4.6,Veneto,375 ,63.417,33.9956,16.3562,23.0727,Marion
317,L'Amarone Anna Maria ,4.6,Amarone della Valpolicella Classico,1830.57 ,82.5,19.2377,48.1821,18.8827,El Pendola
318,Guardiavigna ,4.6,Toscana,700.16 ,49.1499,34.4315,16.3494,40.4193,Podere Forte
319,Amarone Senza Titolo ,4.6,Amarone della Valpolicella,1156.39 ,74.7581,14.315000000000001,43.1634,23.2861,Musella
320,Varano Rosso Cònero ,4.6,Rosso Conero,211.62 ,74.2384,45.6782,4.72917,40.7107,Alberto Serenelli
321,Amistar Cabernet Franc ,4.6,Trentino-Alto Adige,378.10 ,65.707,42.4126,19.3374,21.3957,Peter Sölva
322,Giorgio Primo ,4.6,Chianti Classico,635.29 ,52.0575,41.1242,10.3375,43.8619,La Massa
323,Zebras Brunello di Montalcino ,4.6,Brunello di Montalcino,304.94 ,43.7288,54.7219,3.96546,60.2418,Villa I Cipressi
324,Refolà ,4.6,Veneto,334.52 ,59.8645,36.1084,27.8881,24.721999999999998,Le Vigne di San Pietro
325,Sicomoro ,4.6,Toscana,169 ,42.7268,39.244,1.9012099999999998,42.313,Cantina Vignaioli del Morellino di Scansano
326,Edizione Cinque Autoctoni ,4.6,Abruzzo,249 ,69.8095,35.5655,25.9505,27.8388,Farnese
327,Barolo Riserva del Fico ,4.6,Barolo,532.66 ,47.8312,77.7511,-2.5,80.3896,E. Molino
328,Flauto Magico Brunello di Montalcino ,4.6,Brunello di Montalcino,462.52 ,37.8264,51.9479,-2.5,65.59899999999999,Il Paradiso di Frassina
329,Valpolicella Classico ,4.6,Valpolicella Classico,66.60 ,33.8159,28.9731,20.9771,48.3495,Fratelli Vogadori
330,Barolo Cannubi ,4.6,Piemonte,587.54 ,61.0369,73.8347,4.692260000000001,80.4828,Damilano
331,Barolo Ginestra Casa Maté ,4.6,Barolo,493.84 ,62.6632,73.3395,8.4284,81.4059,Elio Grasso
332,Clematis ,4.6,Colline Pescaresi,277.26 ,53.2457,40.3772,31.954300000000003,42.778999999999996,Cantina Zaccagnini
333,Psyco Rosso di Toscana ,4.6,Toscana,184.81 ,49.7677,33.1098,-2.5,41.5189,Villa La Ripa
334,Macchiona ,4.6,Emilia,288 ,64.2,45.8902,13.2357,32.5229,La Stoppa
335,Tano ,4.6,Amarone della Valpolicella,599 ,54.1898,40.9526,23.604,47.9361,Cà dei Conti
336,Selecti ,4.6,Veneto Orientale,659.43 ,62.2328,35.1092,13.715499999999999,22.5144,Moletto
337,Acinatico Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,459 ,82.5,21.0834,47.4423,19.7667,Stefano Accordini
338,Cipriano Montefalco Sagrantino ,4.6,Montefalco Sagrantino,94.31 ,59.4962,54.2125,2.74327,43.5567,Cantine Rialto
339,Massimo ,4.6,Toscana,213.15 ,40.0,40.0,-2.5,38.36,Castello del Terriccio
340,L'Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,445 ,82.5,20.4605,46.0944,21.2923,Buglioni
341,Lunico Barolo Riserva ,4.6,Barolo,758.84 ,65.3142,64.4257,-2.5,82.5,Natale Verga
342,Heletto ,4.6,Veneto,423.25 ,66.4828,35.3329,27.0,23.4717,Garbole
343,Riserva Camporal Amarone della Valpolicella ,4.6,Amarone della Valpolicella,625 ,82.5,19.883000000000003,30.521299999999997,17.7287,Corte San Benedetto
344,Barolo Riserva Serralunga d'Alba ,4.6,Barolo,656.41 ,53.7774,82.5,-2.5,82.5,Rivetto
345,Brunello di Montalcino Vigneti Dei Cottimelli ,4.6,Brunello di Montalcino,479.68 ,46.6107,58.5464,11.0536,58.0286,Fuligni
346,Valpolicella Classico Lena di Mezzo ,4.6,Valpolicella Classico,386.13 ,39.8834,26.636999999999997,21.0735,53.2181,Monte del Frá
347,Barbera d'Alba Scarrone Vigna Vecchia ,4.6,Barbera d'Alba,334.81 ,55.7737,21.7867,10.1734,63.786,Vietti
348,Brunello di Montalcino  Riserva ,4.6,Brunello di Montalcino,540.02 ,46.2375,49.0695,4.02916,57.3758,Altesino
349,Vigna la Mandorla Barbera d'Asti Superiore ,4.6,Barbera d'Asti,522.17 ,63.40089999999999,17.2208,35.6248,56.3424,Luigi Spertino
350,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella,370.95 ,82.5,22.7959,46.4118,21.205,Masi
351,Escol Montepulciano d'Abruzzo Riserva ,4.6,Montepulciano d'Abruzzo Colline Teramane,,40.1873,41.7869,18.8768,62.2581,San Lorenzo
352,Amarone della Valpolicella Riserva ,4.6,Amarone della Valpolicella,297.19 ,82.5,18.2827,47.6125,17.3862,Rocca Sveva
353,Rosso de Véo Umbria ,4.6,Umbria,398.39 ,48.4705,44.9537,3.2797599999999996,44.5571,Paolo Bea
354,Vecchie Vigne Riserva Barolo ,4.6,Barolo,451.85 ,67.2897,74.127,-2.5,82.5,Renato Corino
355,Barbaresco Pora ,4.6,Barbaresco,275.62 ,61.8361,64.4107,-2.5,71.9467,Gigi Bianco
356,Piaggione Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,1077.29 ,44.9085,43.9683,11.0986,60.2394,Salicutti
357,Bradisismo Veneto Rosso ,4.6,Veneto,193.66 ,65.1061,36.9511,8.6579,24.0131,Inama Azienda Agricola
358,Anghelus Rosso ,4.6,Friuli-Venezia Giulia,170.35 ,40.1596,34.4539,10.0526,44.9291,Conti Dagostino
359,Luce ,4.6,Toscana,707.61 ,49.5657,41.2064,9.2172,43.1351,Luce della Vite
360,Barolo Bricco Rocca ,4.6,Barolo,350 ,61.557599999999994,71.1397,14.529399999999999,79.1888,Cascina Ballarin
361,Barolo Vigna Rionda Ester Canale ,4.6,Barolo,2532.51 ,60.5966,82.5,-2.5,82.5,Giovanni Rosso
362,FSM ,4.6,Toscana,999 ,52.4538,39.1078,23.4834,37.4994,Vicchiomaggio
363,Col di Sasso (Cabernet Sauvignon - Sangiovese) ,4.6,Toscana,108.33 ,41.5593,33.3916,3.25322,40.2402,Banfi
364,Vigna Rionda Barolo ,4.6,Barolo,975 ,58.9762,70.1724,3.01802,80.9324,Luigi Oddero
365, Stelle Sfursat ,4.6,Valtellina,365.57 ,62.939499999999995,73.8169,13.2948,81.3017,Nino Negri
366,Barolo Marcenasco ,4.6,Barolo,662.92 ,61.312,73.7086,3.3434,78.919,Renato Ratti
367,Lux Vitis ,4.6,Toscana,1265.88 ,61.7616,48.2181,18.833000000000002,42.7239,Luce della Vite
368,Empatia ,4.6,Maremma Toscana,816.54 ,41.0465,40.0,-2.5,40.0,Ampeleia
369,Arena Amarone Della Valpolicella Classico ,4.6,Veneto,415.33 ,81.7034,22.125,38.6229,16.8559,Tony Sasa
370,Anfiteatro ,4.6,Colli della Toscana Centrale,509.46 ,43.4949,40.6858,9.3729,44.9422,Vecchie Terre di Montefili
371,Barolo Bussia Vigna Rocche ,4.6,Barolo,665.55 ,57.474,70.752,1.8213800000000004,82.5,Parusso
372,Re del Sole ,4.6,Umbria,250.83 ,60.7581,47.2041,4.532430000000001,36.7622,Leonucci
373,Primitivo di Manduria ,4.6,Primitivo di Manduria,119 ,64.4779,17.43,43.5049,7.254250000000001,Menhir
374,I'Rennero ,4.6,Val di Cornia,417.12 ,45.8255,31.415999999999997,5.28988,43.6454,Gualdo del Re
375,Dante Marramiero Montepulciano d'Abruzzo ,4.6,Montepulciano d'Abruzzo,936.66 ,40.3464,35.8184,10.5504,50.8991,Marramiero
376,El Coston Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,247.66 ,82.5,23.4691,46.1697,22.8596,Filippini
377,Chianti Classico ,4.6,Chianti Classico,100.93 ,42.2701,39.4634,4.9652,59.0769,Solatione
378,Vito Arturo ,4.6,Toscana,299 ,50.031000000000006,37.4848,7.10722,46.7432,Fattoria Le Fonti
379,Gattinara ,4.6,Gattinara,299 ,59.8094,75.4186,-1.35611,82.5,Travaglini
380,Il Maestro Barbera d'Asti Superiore ,4.6,Barbera d'Asti,148.23 ,60.4344,15.3538,13.847000000000001,64.6735,Stella Giuseppe
381,Sarmassa Barolo ,4.6,Barolo,329.23 ,61.616299999999995,77.1047,2.4675199999999995,80.9458,Brezza
382,Brunello di Montalcino Riserva Pian di Conte ,4.6,Brunello di Montalcino,364.37 ,40.7697,51.2134,10.5046,61.0312,Talenti
383,Pian dei Tigli Monferrato Rosso ,4.6,Monferrato,210.25 ,65.0,40.7843,7.6912,15.0,Castello di Razzano
384,Tinella Barbera d’Asti Superiore ,4.6,Barbera d'Asti,133.06 ,56.2789,31.4904,4.201919999999999,61.9872,Moretti Adimari
385,Nero D'Avola Terre Siciliane ,4.6,Terre Siciliane,153.63 ,82.5,36.9012,37.4244,22.1919,Salvatore Tamburello
386,San Zeno Amarone Della Valpolicella ,4.6,Amarone della Valpolicella,221.51 ,56.8125,31.875,40.0,31.875,Villa Morago
387,Spinning Beauty Montefalco Sagrantino ,4.6,Montefalco Sagrantino,1074.48 ,41.75,27.5944,1.7055600000000002,31.3667,Arnaldo-Caprai
388,La Rosa Barolo ,4.6,Barolo,335.19 ,60.7277,73.6518,10.2392,81.5955,Fontanafredda
389,Barolo Bricco Rocche ,4.6,Barolo,8007.20 ,61.609300000000005,72.8074,4.98802,82.0199,Ceretto
390,Il Ritrovo ,4.6,Toscana,325.48 ,54.8891,37.7984,-2.5,34.2344,La Casa di Bricciano
391,Pignol Cru ,4.6,Venezia Giulia,580.99 ,58.8044,51.0127,4.23665,36.2546,Bressan
392,Vitae Verona Rosso ,4.6,Verona,147.67 ,57.3443,34.5778,6.398580000000001,19.0142,Corte Fornaledo
393,Sessantaparte ,4.6,Asti,,56.1005,29.3152,16.0679,39.5707,Massimo Penna Viticoltore
394,Old Vines Primitivo di Manduria ,4.5,Primitivo di Manduria,278.37 ,65.9701,23.8392,42.0429,9.0832,Luccarelli
395,Vigne Vecchie Primitivo di Manduria ,4.5,Primitivo di Manduria,288.74 ,66.5284,24.9294,45.2434,13.595600000000001,Terra Rossa
396,Pazzia Primitivo di Manduria ,4.5,Primitivo di Manduria,200 ,65.4415,20.9433,43.733000000000004,9.0024,Luccarelli
397,Campo León Amarone della Valpolicella ,4.5,Amarone della Valpolicella,297 ,82.5,21.0684,47.7442,21.6994,Latium Morini
398,Turriga Isola dei Nuraghi ,4.5,Isola dei Nuraghi,499 ,82.2483,41.9425,26.2637,25.3159,Argiolas
399,Es Primitivo di Manduria ,4.5,Primitivo di Manduria,399 ,66.6797,22.0115,42.4038,10.3952,Gianfranco Fino
